name,summary,tags,module,path
storyteller,"Crafts emotionally resonant narratives using timeless story frameworks",creative writer specialist,cis,_bmad/cis/agents/storyteller/storyteller.md
security-architect,"Designs zero-trust architectures with defense-in-depth and threat modeling",security architect cloud,cybersec-team,_bmad/cybersec-team/agents/security-architect.md
threat-analyst,"Tracks APT groups and analyzes adversary behavior using MITRE ATT&CK",security analyst threat,cybersec-team,_bmad/cybersec-team/agents/threat-analyst.md
penetration-tester,"Finds vulnerabilities through web network cloud and AD security testing",security specialist pentest,cybersec-team,_bmad/cybersec-team/agents/penetration-tester.md
incident-commander,"Leads breach response with containment forensics and crisis coordination",security manager forensics,cybersec-team,_bmad/cybersec-team/agents/incident-commander.md
compliance-guardian,"Maps controls to NIST SOC2 PCI-DSS HIPAA GDPR with risk quantification",security analyst compliance,cybersec-team,_bmad/cybersec-team/agents/compliance-guardian.md
forensic-investigator,"Analyzes disk memory network and cloud evidence with chain of custody",security specialist forensics,cybersec-team,_bmad/cybersec-team/agents/forensic-investigator.md
api-security-expert,"Secures APIs with OAuth JWT rate limiting and zero-trust principles",security specialist web,cybersec-team,_bmad/cybersec-team/agents/api-security-expert.md
blockchain-security-expert,"Audits smart contracts for DeFi vulnerabilities and economic exploits",security specialist blockchain,cybersec-team,_bmad/cybersec-team/agents/blockchain-security-expert.md
blue-team-lead,"Builds detection engineering programs with threat hunting and purple team exercises",security manager specialist,cybersec-team,_bmad/cybersec-team/agents/blue-team-lead.md
cloud-security-specialist,"Designs cloud security guardrails across AWS Azure GCP with IAM focus",security architect cloud,cybersec-team,_bmad/cybersec-team/agents/cloud-security-specialist.md
llm-ai-security-expert,"Addresses prompt injection jailbreaks and AI governance security challenges",security specialist ai-ml,cybersec-team,_bmad/cybersec-team/agents/llm-ai-security-expert.md
mobile-security-expert,"Tests iOS and Android apps with reverse engineering and binary analysis",security specialist mobile,cybersec-team,_bmad/cybersec-team/agents/mobile-security-expert.md
soc-analyst,"Triages alerts across SIEM EDR with detection engineering and correlation",security analyst specialist,cybersec-team,_bmad/cybersec-team/agents/soc-analyst.md
social-engineer,"Assesses human factor security through pretexting and awareness programs",security specialist,cybersec-team,_bmad/cybersec-team/agents/social-engineer.md
web-app-security-expert,"Tests web apps for OWASP Top 10 with developer-friendly remediation guidance",security specialist web pentest,cybersec-team,_bmad/cybersec-team/agents/web-app-security-expert.md
policy-analyst,"Provides evidence-based policy analysis with quantitative rigor and impact assessment",strategy analyst,strategy-team,_bmad/strategy-team/agents/policy-analyst.md
political-strategist,"Plans campaigns with polling messaging coalition building and opposition research",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/political-strategist.md
debate-coach,"Trains argumentation and rhetoric through Socratic questioning and rigor",strategy specialist,strategy-team,_bmad/strategy-team/agents/debate-coach.md
stakeholder-mediator,"Facilitates multi-party negotiations using interest-based mediation techniques",strategy specialist,strategy-team,_bmad/strategy-team/agents/stakeholder-mediator.md
ethics-advisor,"Illuminates ethical tensions and helps think through value implications",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/ethics-advisor.md
communications-director,"Crafts strategic messaging and manages crisis communications narratives",strategy writer specialist,strategy-team,_bmad/strategy-team/agents/communications-director.md
the-realist,"Channels Machiavelli and Bismarck for cold power analysis and realpolitik",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/the-realist.md
the-liberator,"Channels Lincoln and de Gaulle for moral authority and unity through justice",strategy specialist,strategy-team,_bmad/strategy-team/agents/the-liberator.md
the-revolutionary,"Channels Robespierre for radical systemic change and fundamental transformation",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/the-revolutionary.md
the-conservative,"Channels Burke and Metternich for organic change and institutional wisdom",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/the-conservative.md
the-technocrat,"Channels Lee Kuan Yew and Deng for data-driven meritocratic pragmatism",strategy analyst specialist,strategy-team,_bmad/strategy-team/agents/the-technocrat.md
the-strategist-warrior,"Channels Musashi for timing observation and transcending technique",strategy specialist,strategy-team,_bmad/strategy-team/agents/the-strategist-warrior.md
the-master-strategist,"Channels Sun Tzu for winning without fighting through superior positioning",strategy specialist,strategy-team,_bmad/strategy-team/agents/the-master-strategist.md
the-principled-commander,"Channels Picard for principle-pragmatism balance and diplomatic leadership",strategy specialist,strategy-team,_bmad/strategy-team/agents/the-principled-commander.md
counsel,"Routes legal matters to specialists and coordinates multi-jurisdictional cases",legal manager,legal-team,_bmad/legal-team/agents/counsel.md
liberty,"Handles US corporate civil litigation and federal state regulatory compliance",legal specialist corporate,legal-team,_bmad/legal-team/agents/liberty.md
europa,"Navigates EU law cross-border commerce Estonia e-Residency and GDPR",legal specialist compliance,legal-team,_bmad/legal-team/agents/europa.md
castile,"Advises on Spanish corporate commercial M&A and autonomous community law",legal specialist corporate,legal-team,_bmad/legal-team/agents/castile.md
covenant,"Drafts reviews and negotiates contracts across all supported jurisdictions",legal specialist contracts,legal-team,_bmad/legal-team/agents/covenant.md
advocate,"Develops litigation strategy arbitration and dispute resolution approaches",legal specialist,legal-team,_bmad/legal-team/agents/advocate.md
tribute,"Plans tax optimization and compliance across US EU Spain and Estonia",legal specialist compliance,legal-team,_bmad/legal-team/agents/tribute.md
iberia,"Handles Spanish civil law for family property inheritance and personal matters",legal specialist,legal-team,_bmad/legal-team/agents/iberia.md
gremio,"Advises on Spanish labor law contracts dismissals ERE and works councils",legal specialist,legal-team,_bmad/legal-team/agents/gremio.md
baltic,"Guides Estonia e-Residency OU formation and digital-first business structures",legal specialist corporate,legal-team,_bmad/legal-team/agents/baltic.md
charter,"Advises on board structure director duties fiduciary obligations and governance",legal specialist corporate compliance,legal-team,_bmad/legal-team/agents/charter.md
insignia,"Protects IP through trademarks patents copyrights and licensing strategies",legal specialist,legal-team,_bmad/legal-team/agents/insignia.md
deed,"Handles real estate transactions leasing land use and property rights",legal specialist,legal-team,_bmad/legal-team/agents/deed.md
corporate-intel-specialist,"Traces beneficial ownership UBO and offshore corporate structures",intel analyst corporate,intel-team,_bmad/intel-team/agents/corporate-intel-specialist.md
dark-web-analyst,"Monitors dark web marketplaces forums and cryptocurrency flows",intel analyst specialist,intel-team,_bmad/intel-team/agents/dark-web-analyst.md
domain-intel-specialist,"Maps adversary infrastructure through DNS archaeology and pivot analysis",intel analyst specialist,intel-team,_bmad/intel-team/agents/domain-intel-specialist.md
field-operative,"Conducts surveillance counter-surveillance and tactical field operations",intel specialist,intel-team,_bmad/intel-team/agents/field-operative.md
geospatial-analyst,"Analyzes imagery for geolocation change detection and pattern-of-life",intel analyst specialist,intel-team,_bmad/intel-team/agents/geospatial-analyst.md
humint-specialist,"Builds rapport and elicits information through validated source relationships",intel specialist,intel-team,_bmad/intel-team/agents/humint-specialist.md
osint-lead,"Directs all-source intelligence fusion and multi-INT collection operations",intel manager analyst,intel-team,_bmad/intel-team/agents/osint-lead.md
sigint-specialist,"Analyzes signals communications patterns and spectrum for intelligence",intel analyst specialist,intel-team,_bmad/intel-team/agents/sigint-specialist.md
social-media-analyst,"Exploits social media for SOCMINT and detects influence operations",intel analyst osint,intel-team,_bmad/intel-team/agents/social-media-analyst.md
technical-researcher,"Fingerprints technologies APIs and developer trails for reconnaissance",intel analyst specialist,intel-team,_bmad/intel-team/agents/technical-researcher.md
threat-actor-profiler,"Profiles threat actors with evidence-based attribution and TTP mapping",intel analyst threat,intel-team,_bmad/intel-team/agents/threat-actor-profiler.md
abdul,"Orchestrates cross-module projects with clear ownership and agent delegation",software manager specialist,core,_bmad/core/agents/abdul.md
